# trace records: appended=6864 stored=6864
# seq[0]=0
# seq[1]=4
# seq[2]=264
# seq[3]=34
# seq[4]=132
# seq[5]=260
# seq[6]=0
# seq[7]=1024
# seq[8]=1024
# seq[9]=4096
# seq[10]=32
# seq[11]=4
# seq[12]=0
# seq[13]=0
# seq[14]=0
# seq[15]=0
kind,bx,by,rank,warp,lane,smid,seq,t,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
2,39,1,3,4,0,87,53,1788983405571178880,0,3,0,1,0,0,0,0,0,0
2,39,1,3,0,0,87,51,1788983405571178880,0,3,0,0,0,0,0,0,0,0
2,38,1,2,4,0,86,55,1788983405571178912,0,2,1,1,0,0,0,0,0,0
2,37,1,3,0,0,85,56,1788983405571178944,0,3,0,0,0,0,0,0,0,0
2,36,1,2,0,0,84,57,1788983405571178944,0,2,1,0,0,0,0,0,0,0
2,36,1,2,4,0,84,59,1788983405571178944,0,2,1,1,0,0,0,0,0,0
2,37,1,3,4,0,85,58,1788983405571178944,0,3,0,1,0,0,0,0,0,0
7,34,0,0,1,0,68,7,1788983405571178976,0,1,0,1232,17,0,0,0,0,0
2,34,0,0,0,0,68,3,1788983405571178944,0,0,1,0,0,0,0,0,0,0
7,26,0,0,1,0,42,13,1788983405571178976,0,1,0,1232,13,0,0,0,0,0
7,36,0,0,1,0,70,4,1788983405571178944,0,1,0,1232,18,0,0,0,0,0
2,36,0,0,0,0,70,1,1788983405571178944,0,0,1,0,0,0,0,0,0,0
2,51,1,3,0,0,113,61,1788983405571179040,0,3,0,0,0,0,0,0,0,0
2,50,1,2,4,0,112,67,1788983405571179040,0,2,1,1,0,0,0,0,0,0
2,51,1,3,4,0,113,65,1788983405571179040,0,3,0,1,0,0,0,0,0,0
2,50,1,2,0,0,112,63,1788983405571179040,0,2,1,0,0,0,0,0,0,0
2,36,0,0,4,0,70,4,1788983405571179040,0,0,1,1,0,0,0,0,0,0
2,22,1,2,0,0,54,72,1788983405571179040,0,2,1,0,0,0,0,0,0,0
2,22,1,2,4,0,54,73,1788983405571179040,0,2,1,1,0,0,0,0,0,0
8,0,0,0,1,0,0,0,1788983405571179072,2,2,0,1,0,0,0,2,2,0
2,25,1,3,0,0,57,76,1788983405571179072,0,3,0,0,0,0,0,0,0,0
2,24,1,2,0,0,56,68,1788983405571179072,0,2,1,0,0,0,0,0,0,0
2,39,0,1,4,0,73,49,1788983405571179072,0,1,0,1,0,0,0,0,0,0
2,25,1,3,4,0,57,77,1788983405571179072,0,3,0,1,0,0,0,0,0,0
7,38,0,0,1,0,72,27,1788983405571179072,0,1,0,1232,19,0,0,0,0,0
7,24,0,0,1,0,40,28,1788983405571179072,0,1,0,1232,12,0,0,0,0,0
2,24,1,2,4,0,56,69,1788983405571179072,0,2,1,1,0,0,0,0,0,0
2,37,0,1,0,0,71,70,1788983405571179104,0,1,0,0,0,0,0,0,0,0
2,37,0,1,4,0,71,71,1788983405571179104,0,1,0,1,0,0,0,0,0,0
2,38,0,0,4,0,72,52,1788983405571179104,0,0,1,1,0,0,0,0,0,0
2,24,0,0,0,0,40,62,1788983405571179072,0,0,1,0,0,0,0,0,0,0
2,23,1,3,0,0,55,74,1788983405571179104,0,3,0,0,0,0,0,0,0,0
2,38,0,0,0,0,72,50,1788983405571179104,0,0,1,0,0,0,0,0,0,0
2,25,0,1,0,0,41,60,1788983405571179104,0,1,0,0,0,0,0,0,0,0
2,24,0,0,4,0,40,66,1788983405571179104,0,0,1,1,0,0,0,0,0,0
2,23,1,3,4,0,55,75,1788983405571179104,0,3,0,1,0,0,0,0,0,0
2,25,0,1,4,0,41,64,1788983405571179104,0,1,0,1,0,0,0,0,0,0
2,32,1,2,4,0,80,10,1788983405571179136,0,2,1,1,0,0,0,0,0,0
2,32,1,2,0,0,80,9,1788983405571179136,0,2,1,0,0,0,0,0,0,0
2,2,0,0,0,0,2,13,1788983405571179136,0,0,1,0,0,0,0,0,0,0
7,52,0,0,1,0,100,22,1788983405571179136,0,1,0,1232,26,0,0,0,0,0
2,2,0,0,4,0,2,11,1788983405571179136,0,0,1,1,0,0,0,0,0,0
2,52,0,0,0,0,100,26,1788983405571179136,0,0,1,0,0,0,0,0,0,0
2,52,0,0,4,0,100,27,1788983405571179168,0,0,1,1,0,0,0,0,0,0
7,46,0,0,1,0,94,23,1788983405571179168,0,1,0,1232,23,0,0,0,0,0
2,18,0,0,4,0,34,5,1788983405571179168,0,0,1,1,0,0,0,0,0,0
2,46,0,0,0,0,94,28,1788983405571179200,0,0,1,0,0,0,0,0,0,0
2,18,0,0,0,0,34,6,1788983405571179200,0,0,1,0,0,0,0,0,0,0
2,46,0,0,4,0,94,29,1788983405571179232,0,0,1,1,0,0,0,0,0,0
8,32,0,0,1,0,66,1,1788983405571179296,4,2,0,1,0,0,0,2,4,0
9,32,0,0,0,0,66,0,1788983405571179296,4,2,0,1,0,0,0,2,4,0
2,51,0,1,0,0,99,110,1788983405571179264,0,1,0,0,0,0,0,0,0,0
4,1,0,1,2,0,1,8,1788983405571179264,64,128,0,16828416,8192,16778248,0,0,0,0
2,51,0,1,4,0,99,112,1788983405571179296,0,1,0,1,0,0,0,0,0,0
4,0,0,0,2,0,0,9,1788983405571179264,64,0,0,51200,8192,1032,0,0,0,0
2,0,0,0,4,0,0,114,1788983405571179264,0,0,1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,115,1788983405571179264,0,0,1,0,0,0,0,0,0,0
4,1,1,3,2,0,17,10,1788983405571179296,64,192,0,50391040,8192,50332680,0,0,0,0
4,0,1,2,2,0,16,11,1788983405571179296,64,64,0,33613824,8192,33555464,0,0,0,0
7,48,0,0,1,0,96,17,1788983405571179296,0,1,0,1232,24,0,0,0,0,0
2,0,1,2,4,0,16,117,1788983405571179296,0,2,1,1,0,0,0,0,0,0
2,0,1,2,0,0,16,119,1788983405571179296,0,2,1,0,0,0,0,0,0,0
2,35,0,1,0,0,69,81,1788983405571179296,0,1,0,0,0,0,0,0,0,0
2,2,1,2,0,0,18,118,1788983405571179328,0,2,1,0,0,0,0,0,0,0
2,33,1,3,0,0,81,113,1788983405571179360,0,3,0,0,0,0,0,0,0,0
7,4,0,0,1,0,4,6,1788983405571179328,0,1,0,1232,2,0,0,0,0,0
2,34,0,0,4,0,68,84,1788983405571179328,0,0,1,1,0,0,0,0,0,0
2,4,0,0,0,0,4,15,1788983405571179328,0,0,1,0,0,0,0,0,0,0
2,35,0,1,4,0,69,91,1788983405571179360,0,1,0,1,0,0,0,0,0,0
2,2,1,2,4,0,18,120,1788983405571179360,0,2,1,1,0,0,0,0,0,0
2,33,1,3,4,0,81,116,1788983405571179392,0,3,0,1,0,0,0,0,0,0
9,6,0,0,0,0,6,1,1788983405571179360,8,2,0,1,0,0,0,2,8,0
2,53,0,1,0,0,101,121,1788983405571179328,0,1,0,0,0,0,0,0,0,0
8,6,0,0,1,0,6,2,1788983405571179360,8,2,0,1,0,0,0,2,8,0
2,3,1,3,0,0,19,122,1788983405571179392,0,3,0,0,0,0,0,0,0,0
2,53,0,1,4,0,101,123,1788983405571179360,0,1,0,1,0,0,0,0,0,0
2,34,1,2,0,0,82,96,1788983405571179360,0,2,1,0,0,0,0,0,0,0
2,3,1,3,4,0,19,124,1788983405571179392,0,3,0,1,0,0,0,0,0,0
2,34,1,2,4,0,82,98,1788983405571179392,0,2,1,1,0,0,0,0,0,0
2,35,1,3,0,0,83,103,1788983405571179360,0,3,0,0,0,0,0,0,0,0
2,35,1,3,4,0,83,104,1788983405571179360,0,3,0,1,0,0,0,0,0,0
8,16,0,0,1,0,32,3,1788983405571179360,12,2,0,1,0,0,0,2,12,0
2,3,0,1,0,0,3,125,1788983405571179360,0,1,0,0,0,0,0,0,0,0
2,3,0,1,4,0,3,126,1788983405571179392,0,1,0,1,0,0,0,0,0,0
7,22,0,0,1,0,38,32,1788983405571179392,0,1,0,1232,11,0,0,0,0,0
2,22,0,0,0,0,38,129,1788983405571179392,0,0,1,0,0,0,0,0,0,0
9,16,0,0,0,0,32,2,1788983405571179392,12,2,0,1,0,0,0,2,12,0
2,18,1,2,0,0,50,130,1788983405571179392,0,2,1,0,0,0,0,0,0,0
2,23,0,1,0,0,39,127,1788983405571179392,0,1,0,0,0,0,0,0,0,0
2,46,1,2,0,0,108,128,1788983405571179392,0,2,1,0,0,0,0,0,0,0
2,23,0,1,4,0,39,131,1788983405571179424,0,1,0,1,0,0,0,0,0,0
2,18,1,2,4,0,50,134,1788983405571179424,0,2,1,1,0,0,0,0,0,0
2,19,1,3,0,0,51,135,1788983405571179424,0,3,0,0,0,0,0,0,0,0
2,22,0,0,4,0,38,133,1788983405571179392,0,0,1,1,0,0,0,0,0,0
2,19,0,1,0,0,35,137,1788983405571179424,0,1,0,0,0,0,0,0,0,0
2,46,1,2,4,0,108,132,1788983405571179424,0,2,1,1,0,0,0,0,0,0
